Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_161,murmuru,0.4252580820183172,5,600.0,255.15484921099033
AC_161,murure,1.1603070444976182,1,600.0,696.1842266985709
AC_161,ni 01,0.11824851987239994,1,600.0,70.94911192343996
AC_161,ni 11,1.0680331184877503,1,600.0,640.8198710926501
AC_161,pachiuba,2.2028997821919605,6,600.0,1321.7398693151763
AC_161,pachiubinha,0.663508332842448,4,600.0,398.1049997054688
AC_161,pama manite,0.6299580325191516,3,600.0,377.974819511491
AC_161,pama peluda,0.6164917468927561,8,600.0,369.89504813565367
AC_161,pama serra,0.3553589201276563,2,600.0,213.21535207659377
AC_161,pataua,1.817846077206184,8,600.0,1090.7076463237104
AC_161,piaca,0.3733907930197493,1,600.0,224.03447581184957
AC_161,quaruba,12.893226667888962,4,600.0,7735.936000733377
AC_161,ripeiro vermelho,1.3941263285894279,4,600.0,836.4757971536567
AC_161,samauma,0.5700111545990293,3,600.0,342.00669275941755
AC_161,socoro,3.7714064391262654,1,600.0,2262.843863475759
AC_161,sucupira amarela,0.6938540736712557,4,600.0,416.31244420275345
AC_161,tachi vermelho,4.339063577099344,7,600.0,2603.438146259606
AC_161,timborana,5.993321510834804,1,600.0,3595.9929065008823
AC_161,ucuuba punan,0.06568830891947058,1,600.0,39.41298535168235
AC_161,ucuuba vermelha,0.17476575000101424,1,650.0,113.59773750065926
AC_161,virola casca de vidro,1.921019096860301,1,600.0,1152.6114581161805
AC_162,abiu caramuri,1.4129505343216788,3,600.0,847.7703205930073
AC_162,abiu coroa,3.679503814254284,3,600.0,2207.7022885525703
AC_162,abiurana,0.07648328325488173,1,600.0,45.889969952929036
AC_162,acariquara do brejo,0.2525661399488662,2,600.0,151.5396839693197
AC_162,amescla,0.6475599156527977,5,600.0,388.5359493916786
AC_162,açai,0.5308081090738772,3,600.0,318.4848654443263
AC_162,bacuri,0.3114598415479889,1,600.0,186.87590492879335
AC_162,balatinha,0.8351306733108657,3,600.0,501.0784039865194
AC_162,balsamo,0.5579874018031544,1,600.0,334.79244108189266
AC_162,barriguda,9.060803970000851,1,600.0,5436.48238200051
AC_162,breu maxixe,0.5005183583871484,4,600.0,300.31101503228905
AC_162,cacau,0.5318726056664619,8,600.0,319.1235633998771
AC_162,cajazinho,2.390053796054642,1,600.0,1434.0322776327853
AC_162,canela de velho,0.23865752039218416,6,650.0,155.1273882549197
AC_162,capoeiro,1.5663877072074488,1,600.0,939.8326243244693
AC_162,carapanauba,1.1024177864157194,4,600.0,661.4506718494316
AC_162,carapanauba preta,0.8277547916837112,1,600.0,496.65287501022675
AC_162,castainha,1.1439726641460806,4,650.0,743.5822316949524
AC_162,caucho,2.892538101971383,2,600.0,1735.5228611828297
AC_162,cerejeira,4.588540138270964,1,600.0,2753.124082962578
AC_162,cumarurana,5.072289465710233,4,600.0,3043.3736794261395
