UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_119;3;5;0.241506422;4;9.660256863;160
AC_119;3;6;0.23085626;2;9.234250387;80
AC_119;3;8;0.539337744;2;21.57350977;80
AC_119;3;9;2.337006188;14;93.48024753;560
AC_119;3;10;0.1917312;1;7.669248007;40
AC_119;4;1;0.82622314;5;33.04892561;200
AC_119;4;2;1.286220816;5;51.44883264;200
AC_119;4;3;0.675000864;7;27.00003454;280
AC_119;4;4;2.297201373;10;91.88805494;400
AC_119;4;5;0.641444794;6;25.65779176;240
AC_119;4;6;1.59294567;10;63.71782681;400
AC_119;4;7;1.057137354;6;42.28549414;240
AC_119;4;8;3.885712779;8;155.4285112;320
AC_119;4;9;3.771008936;7;150.8403574;280
AC_119;4;10;3.490610572;6;139.6244229;240
AC_128;1;1;1.501383887;9;60.05535548;360
AC_128;1;2;0.330211921;6;13.20847684;240
AC_128;1;3;0.731754851;1;29.27019403;40
AC_128;1;4;0.292438296;4;11.69753185;160
AC_128;1;5;0.630271751;6;25.21087003;240
AC_128;1;6;0.83957337;4;33.58293479;160
AC_128;1;7;0.50385503;5;20.15420119;200
AC_128;1;8;6.34722246;6;253.8888984;240
AC_128;1;9;9.101432261;10;364.0572904;400
AC_128;1;10;0.647591993;6;25.90367971;240
AC_128;1;13;5.783336537;1;231.3334615;40
AC_128;1;15;2.487845039;2;99.51380156;80
AC_128;1;20;1.439420744;1;57.57682977;40
AC_128;2;1;1.472675436;8;58.90701744;320
AC_128;2;2;1.536955585;9;61.47822339;360
AC_128;2;3;8.540765191;6;341.6306076;240
AC_128;2;4;2.55334224;11;102.1336896;440
AC_128;2;5;0.889037129;7;35.56148518;280
AC_128;2;6;1.541900433;7;61.67601732;280
AC_128;2;7;0.836342111;6;33.45368446;240
AC_128;2;8;6.445681127;5;257.8272451;200
AC_128;2;9;1.125971727;7;45.03886909;280
AC_128;2;10;3.823416777;12;152.9366711;480
AC_128;2;14;2.753954924;1;110.1581969;40
AC_128;2;15;13.19202488;1;527.6809952;40
AC_128;2;17;9.115444488;2;364.6177795;80
AC_128;2;18;5.031150475;1;201.246019;40
AC_128;2;19;2.681502519;1;107.2601008;40
AC_128;3;1;0.544478074;5;21.77912295;200
AC_128;3;2;6.295455063;3;251.8182025;120
AC_128;3;3;2.211981606;9;88.47926424;360
AC_128;3;4;1.381590979;5;55.26363918;200
AC_128;3;5;3.834515761;5;153.3806305;200
AC_128;3;6;1.94246605;6;77.698642;240
AC_128;3;7;8.004674081;4;320.1869632;160
AC_128;3;8;0.391082106;6;15.64328424;240
AC_128;3;9;1.218121194;5;48.72484776;200
AC_128;3;10;0.393096558;5;15.72386233;200
AC_128;3;16;6.455652592;1;258.2261037;40
AC_128;3;17;3.478919445;1;139.1567778;40
AC_128;3;18;4.747850245;1;189.9140098;40
AC_128;4;1;1.487139628;5;59.4855851;200
AC_128;4;2;0.524502196;4;20.98008785;160
AC_128;4;3;2.769513953;10;110.7805581;400
AC_128;4;4;29.25466577;8;1170.186631;320
AC_128;4;5;3.160499965;7;126.4199986;280
AC_128;4;6;1.038177283;5;41.52709131;200
AC_128;4;7;24.78973121;16;991.5892486;640
AC_128;4;8;1.129880392;6;45.19521568;240
AC_128;4;9;0.895395327;6;35.81581307;240
AC_128;4;10;12.9719293;3;518.8771719;120
AC_128;4;12;2.421645721;1;96.86582882;40
AC_128;4;18;10.50185722;1;420.0742888;40
AC_129;1;1;4.808970323;5;192.3588129;200
AC_129;1;2;1.104837541;5;44.19350165;200
AC_129;1;3;1.151472816;9;46.05891264;360
AC_129;1;4;0.761222679;4;30.44890715;160
AC_129;1;5;1.684761517;8;67.39046067;320
AC_129;1;6;5.586287277;8;223.4514911;320
AC_129;1;7;1.870588026;6;74.82352103;240
AC_129;1;8;5.237695005;3;209.5078002;120
AC_129;1;9;1.365322488;8;54.61289951;320
AC_129;1;10;0.869999146;3;34.79996584;120
AC_129;1;14;1.94707374;1;77.88294961;40
AC_129;1;16;1.612812183;1;64.51248733;40
AC_129;2;1;0.798871481;3;31.95485923;120
AC_129;2;3;36.38778182;7;1455.511273;280
AC_129;2;4;3.29058605;2;131.623442;80
AC_129;2;5;0.284045105;2;11.36180418;80
AC_129;2;6;0.23070226;1;9.228090382;40
AC_129;2;7;0.450254938;4;18.01019751;160
AC_129;2;8;0.335588284;3;13.42353137;120
AC_129;2;9;0.194515933;2;7.780637324;80
AC_129;2;10;0.031609956;1;1.26439823;40
AC_129;2;11;4.28556264;2;171.4225056;80
AC_129;2;12;2.353656451;1;94.14625803;40
AC_129;2;13;5.131115682;1;205.2446273;40
AC_129;2;14;1.798623003;1;71.94492011;40
AC_129;2;17;4.664899063;1;186.5959625;40
AC_129;2;19;1.921571034;1;76.86284135;40
AC_129;3;17;13.80497366;1;552.1989462;40
AC_129;3;20;8.810154087;2;352.4061635;80
AC_129;4;9;15.97612966;4;639.0451864;160
AC_129;4;10;1.36877677;11;54.75107078;440
AC_129;4;14;4.266852834;1;170.6741134;40
AC_129;4;16;10.69879886;1;427.9519543;40
AC_129;4;18;4.171019736;2;166.8407895;80
AC_13;1;1;1.688196891;6;67.52787565;240
AC_13;1;2;0.676437112;2;27.05748447;80
AC_13;1;3;0.354411962;3;14.17647846;120
AC_13;1;4;1.055036377;5;42.20145506;200
AC_13;1;5;6.58949615;4;263.579846;160
AC_13;1;6;0.386546627;1;15.46186507;40
AC_13;1;7;0.058543111;1;2.341724458;40
AC_13;1;8;0.234835871;3;9.393434826;120
AC_13;1;9;12.68088405;12;507.2353619;480
AC_13;1;10;2.568744535;5;102.7497814;200
AC_13;1;11;3.280896329;1;131.2358531;40
AC_13;1;13;1.929116113;1;77.1646445;40
AC_13;1;16;1.222594039;1;48.90376155;40
AC_13;1;17;1.884932166;1;75.39728662;40
AC_13;1;18;3.906410208;2;156.2564083;80
AC_13;1;19;5.467205335;2;218.6882134;80
AC_13;2;1;0.093103965;2;3.724158612;80
AC_13;2;2;2.238424122;4;89.53696488;160
AC_13;2;3;4.723260177;10;188.9304071;400
AC_13;2;4;1.830750109;5;73.23000435;200
AC_13;2;5;1.800208501;1;72.00834005;40
AC_13;2;6;0.612618684;2;24.50474737;80
AC_13;2;7;1.581571227;5;63.2628491;200
AC_13;2;8;1.416475968;5;56.65903871;200
AC_13;2;9;0.056966339;1;2.278653545;40
AC_13;2;10;1.300696783;5;52.0278713;200
AC_13;2;13;4.018444153;1;160.7377661;40
AC_13;2;15;1.170644228;1;46.82576912;40
AC_13;2;17;1.379074446;1;55.16297783;40
AC_13;2;18;1.204037894;1;48.16151575;40
AC_13;2;19;1.681046381;1;67.24185524;40
AC_13;2;20;1.369155918;1;54.76623673;40
AC_13;3;1;0.378574098;1;15.1429639;40
AC_13;3;2;2.535232108;9;101.4092843;360
